
Clasificación;;P.J.;P.G.;P.E.;P.P.;G.F.;G.C.;Ptos;
1;Barcelona;37;27;6;4;112;35;87;
2;R. Madrid*;36;27;6;3;100;40;87;
3;Atlético;37;22;9;6;67;26;75;
4;Sevilla;37;20;9;8;64;49;69;
5;Villarreal;37;18;10;9;53;32;64;
6;Athletic;37;19;6;12;52;40;63;
7;R. Sociedad;37;19;6;12;57;51;63;
8;Eibar;37;15;9;13;54;47;54;
9;Alavés;37;14;12;11;40;42;54;
10;Espanyol;37;14;11;12;47;49;53;
11;Málaga;37;12;10;15;49;53;46;
12;Valencia;37;13;7;17;55;62;46;
13;Celta*;36;13;5;18;50;63;44;
14;Las Palmas;37;10;9;18;53;71;39;
15;Betis;37;10;8;19;39;62;38;
16;Leganés;37;8;10;19;35;54;34;
17;Deportivo;37;7;12;18;40;61;33;
18;Sporting;37;7;9;21;40;70;30;
19;Osasuna;37;4;10;23;40;89;22;
20;Granada;37;4;8;25;29;80;20;
